rk	ufi	uni	full_name	nt	lat_dd	long_dd	efctv_dt	term_dt_f	term_dt_n	desig_cd	fc	cc_ft	adm1	ft_link	name_rank	lang_cd	transl_cd	script_cd	name_link	cc_nm	generic	full_nm_nd	sort_gen	sort_name	lat_dms	long_dms	mgrs	mod_dt_ft	mod_dt_nm	dialect_cd	display	gis_notes
5	6221790	6244731	Bakshīnagar	N	32.736111	74.8625				TRIG	S	IND	IN-JK		1							Bakshinagar		BAKSHINAGAR	32:44:10	74:51:45	43SDS8711722041	2020-07-27T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2	
5	6222018	15306255	Ratangarh	N	28.068691	74.625292				RSTN	S	IND	IN-RJ		1							Ratangarh		RATANGARH	28:04:07	74:37:31	43RDM6318104868	2015-01-16T00:00:00.000Z	2015-01-16T00:00:00.000Z		1,2	
5	6222018	6245134	Ratangarh Railroad Station	N	28.068691	74.625292				RSTN	S	IND	IN-RJ		2							Ratangarh Railroad Station	RAILROADSTATION	RATANGARHRAILROADSTATION	28:04:07	74:37:31	43RDM6318104868	2015-01-16T00:00:00.000Z	2015-01-16T00:00:00.000Z		1,2	
5	6222019	6245135	Ratangarh West Railroad Station	N	28.076288	74.601342				RSTN	S	IND	IN-RJ		2							Ratangarh West Railroad Station	RAILROADSTATION	RATANGARHWESTRAILROADSTATION	28:04:35	74:36:05	43RDM6083005717	2015-01-16T00:00:00.000Z	2015-01-16T00:00:00.000Z		1,2,3	
5	6222019	15306256	Ratangarh West	N	28.076288	74.601342				RSTN	S	IND	IN-RJ		1							Ratangarh West		RATANGARHWEST	28:04:35	74:36:05	43RDM6083005717	2015-01-16T00:00:00.000Z	2015-01-16T00:00:00.000Z		1,2,3	
5	6222160	6245291	Deothāl	V	28.69051	74.704468				TRIG	S	IND	IN-RJ									Deothal		DEOTHAL	28:41:26	74:42:16	43RDM7113073733	2015-02-24T00:00:00.000Z	2015-03-11T00:00:00.000Z		1,2	
1	6222160	15800676	Deothal	N	28.69051	74.704468				TRIG	S	IND	IN-RJ		1							Deothal		DEOTHAL	28:41:26	74:42:16	43RDM7113073733	2015-02-24T00:00:00.000Z	2015-02-26T00:00:00.000Z		1,2	
5	6222186	6245317	Māl Thāla	N	28.161111	73.775				TRIG	S	IND	IN-RJ		1							Mal Thala		MALTHALA	28:09:40	73:46:30	43RCM7972915657	2003-02-07T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2	
5	6222190	6245321	Suler Ka Dhora	N	28.163889	73.963889				TRIG	S	IND	IN-RJ		1							Suler Ka Dhora		SULERKADHORA	28:09:50	73:57:50	43RCM9827815792	2003-02-07T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2	
5	6222199	6245330	Benisar Railroad Station	N	28.067069	73.894076				RSTN	S	IND	IN-RJ		1							Benisar Railroad Station		BENISARRAILROADSTATION	28:04:01	73:53:39	43RCM9132605125	2012-08-09T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3	
5	6222210	6245341	Somau	N	34.529167	76.05				TRIG	S	IND	IN-LA		1							Somau		SOMAU	34:31:45	76:03:00	43SEU9636221332	2020-07-24T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2	
5	6222214	6245345	Pashkyūm	N	34.525	76.169444				TRIG	S	IND	IN-LA		1							Pashkyum		PASHKYUM	34:31:30	76:10:10	43SFU0732920990	2020-07-24T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2	
5	6222225	6245356	Kunchi	N	34.563889	76.075				TRIG	S	IND	IN-LA		1							Kunchi		KUNCHI	34:33:50	76:04:30	43SEU9861525207	2020-07-24T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2	
5	6222257	6245388	Harka Bahādur Bridge	N	34.594444	76.1125				BDG	S	IND	IN-LA		1							Harka Bahadur Bridge		HARKABAHADURBRIDGE	34:35:40	76:06:45	43SFU0201828632	2020-07-24T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2	
5	6222271	6245402	Jhunkar	N	34.623611	76.247222				TRIG	S	IND	IN-LA		1							Jhunkar		JHUNKAR	34:37:25	76:14:50	43SFU1433332011	2020-07-24T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2	
5	6223191	6246327	Soman Bridge	N	34.655556	76.35				BDG	S	IND	IN-LA		1							Soman Bridge		SOMANBRIDGE	34:39:20	76:21:00	43SFU2370835675	2020-07-24T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2	
