rk	ufi	uni	full_name	nt	lat_dd	long_dd	efctv_dt	term_dt_f	term_dt_n	desig_cd	fc	cc_ft	adm1	ft_link	name_rank	lang_cd	transl_cd	script_cd	name_link	cc_nm	generic	full_nm_nd	sort_gen	sort_name	lat_dms	long_dms	mgrs	mod_dt_ft	mod_dt_nm	dialect_cd	display	gis_notes
5	13105819	16542993	Wanyikhōr Forest	N	33.594498	75.715907				FRST	V	IND	IN-JK		1							Wanyikhor Forest	FOREST	WANYIKHORFOREST	33:35:40	75:42:57	43SET6642617426	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13105822	16542996	Mōstil Forest	N	33.590062	75.745521				FRST	V	IND	IN-JK		1							Mostil Forest	FOREST	MOSTILFOREST	33:35:24	75:44:44	43SET6917716953	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13105861	16543015	Matlimarg Forest	N	33.595265	75.612868				FRST	V	IND	IN-JK		1							Matlimarg Forest	FOREST	MATLIMARGFOREST	33:35:43	75:36:46	43SET5686417450	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106600	16543849	Kandiwār Forest	N	33.462362	75.582608				FRST	V	IND	IN-JK		1							Kandiwar Forest		KANDIWARFOREST	33:27:45	75:34:57	43SET5414002698	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106603	16543852	Dal Forest	N	33.457386	75.583944				FRST	V	IND	IN-JK		1							Dal Forest		DALFOREST	33:27:27	75:35:02	43SET5426702147	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106608	16543857	Dūren Forest	N	33.448013	75.545551				FRST	V	IND	IN-JK		1							Duren Forest	FOREST	DURENFOREST	33:26:53	75:32:44	43SET5070401089	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106623	16543872	Naidgām Forest	N	33.415556	75.563725				FRST	V	IND	IN-JK		1							Naidgam Forest	FOREST	NAIDGAMFOREST	33:24:56	75:33:49	43SES5241397499	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106626	16543875	Cholban Forest	N	33.420823	75.577294				FRST	V	IND	IN-JK		1							Cholban Forest	FOREST	CHOLBANFOREST	33:25:15	75:34:38	43SES5367198090	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106645	16543894	Shāpurshāl Forest	N	33.349548	75.509658				FRST	V	IND	IN-JK		1							Shapurshal Forest	FOREST	SHAPURSHALFOREST	33:20:58	75:30:35	43SES4742290155	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106648	16543897	Simbōl Forest	N	33.358762	75.573173				FRST	V	IND	IN-JK		1							Simbol Forest		SIMBOLFOREST	33:21:32	75:34:23	43SES5332691207	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106662	16543911	Thanamarg Forest	N	33.309604	75.534717				FRST	V	IND	IN-JK		1							Thanamarg Forest	FOREST	THANAMARGFOREST	33:18:35	75:32:05	43SES4977685738	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106670	16543919	Thāna Chaond Forest	N	33.282162	75.538669				FRST	V	IND	IN-JK		1							Thana Chaond Forest	FOREST	THANACHAONDFOREST	33:16:56	75:32:19	43SES5016082698	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106679	16543928	Biman Forest	N	33.250444	75.512184				FRST	V	IND	IN-JK		1							Biman Forest	FOREST	BIMANFOREST	33:15:02	75:30:44	43SES4771179169	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
